time (us), GPS_fixType, GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course, GPS_hdop, GPS_eph, GPS_epv
224717849, 2, 9, 47.5635619, -122.0828090, 12, 0.04, 81.4, 188, 168, 293
224732907, 2, 9, 47.5635619, -122.0828090, 12, 0.04, 81.4, 188, 168, 293
224747955, 2, 9, 47.5635619, -122.0828091, 12, 0.03, 81.4, 188, 168, 292
224908683, 2, 9, 47.5635618, -122.0828089, 12, 0.03, 81.4, 188, 168, 292
225147929, 2, 9, 47.5635616, -122.0828089, 12, 0.05, 81.4, 188, 168, 291
225547904, 2, 9, 47.5635615, -122.0828090, 12, 0.07, 81.4, 188, 167, 290
226349232, 2, 9, 47.5635615, -122.0828098, 12, 0.20, 81.4, 188, 167, 288
226550326, 2, 9, 47.5635615, -122.0828099, 12, 0.13, 81.4, 188, 167, 288
226749198, 2, 9, 47.5635615, -122.0828102, 12, 0.22, 81.4, 188, 167, 287
226949388, 2, 9, 47.5635617, -122.0828104, 12, 0.48, 32.0, 188, 167, 287
227110161, 2, 8, 47.5635617, -122.0828104, 12, 0.48, 32.0, 190, 167, 287
227149485, 2, 8, 47.5635614, -122.0828103, 12, 0.03, 32.0, 190, 168, 287
227349416, 2, 8, 47.5635614, -122.0828106, 12, 0.13, 32.0, 190, 168, 287
227510248, 2, 9, 47.5635614, -122.0828106, 12, 0.13, 32.0, 188, 168, 287
227549377, 2, 9, 47.5635620, -122.0828120, 12, 0.60, 354.1, 188, 169, 287
227710226, 2, 8, 47.5635620, -122.0828120, 12, 0.60, 354.1, 190, 169, 287
227749377, 2, 8, 47.5635604, -122.0828128, 13, 0.82, 276.7, 190, 169, 288
227950029, 2, 8, 47.5635599, -122.0828143, 13, 0.71, 260.8, 190, 170, 289
228149929, 2, 8, 47.5635600, -122.0828142, 13, 0.10, 260.8, 190, 171, 289
228310626, 2, 9, 47.5635600, -122.0828142, 13, 0.10, 260.8, 188, 171, 289
228350848, 2, 9, 47.5635597, -122.0828145, 13, 0.12, 260.8, 188, 172, 290
228550785, 2, 9, 47.5635597, -122.0828147, 13, 0.09, 260.8, 188, 172, 289
