time (us), GPS_fixType, GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course, GPS_hdop, GPS_eph, GPS_epv, GPS_velned[0], GPS_velned[1], GPS_velned[2]
18087484, 2, 16, 47.5637768, -122.0828362, 14, 0.04, 358.2, 131, 234, 330, -3, -2, 9
18117611, 2, 16, 47.5637768, -122.0828362, 14, 0.04, 358.2, 131, 234, 330, -3, -2, 9
18258234, 2, 16, 47.5637769, -122.0828363, 14, 0.06, 358.2, 131, 232, 327, -6, 0, 9
18438908, 2, 16, 47.5637770, -122.0828363, 14, 0.06, 358.2, 131, 229, 323, -6, 0, 9
18659697, 2, 16, 47.5637772, -122.0828364, 14, 0.04, 358.2, 131, 226, 319, -4, -1, 10
18860491, 2, 16, 47.5637771, -122.0828365, 14, 0.11, 358.2, 131, 224, 315, -11, 0, 13
19061240, 2, 16, 47.5637772, -122.0828366, 14, 0.09, 358.2, 131, 221, 312, -9, 0, 25
19243879, 2, 16, 47.5637770, -122.0828367, 14, 0.09, 358.2, 131, 219, 308, -9, 0, 25
19623263, 2, 16, 47.5637768, -122.0828368, 14, 0.15, 358.2, 131, 215, 302, -15, 1, 37
19804499, 2, 16, 47.5637767, -122.0828369, 14, 0.24, 358.2, 131, 213, 300, -24, -2, 44
20407315, 2, 16, 47.5637767, -122.0828370, 14, 0.11, 358.2, 131, 208, 292, -11, 0, 35
20602843, 2, 16, 47.5637767, -122.0828371, 14, 0.13, 358.2, 131, 206, 289, -13, -2, 25
20850499, 2, 16, 47.5637770, -122.0828371, 14, 0.13, 358.2, 131, 204, 287, -13, -2, 25
21051321, 2, 16, 47.5637771, -122.0828372, 14, 0.05, 358.2, 131, 203, 284, -5, -1, 17
21251999, 2, 16, 47.5637771, -122.0828373, 14, 0.07, 358.2, 131, 201, 282, -7, -2, 17
21452813, 2, 16, 47.5637772, -122.0828373, 14, 0.06, 358.2, 131, 200, 280, -6, 2, 12
21651852, 2, 16, 47.5637771, -122.0828374, 14, 0.07, 358.2, 131, 199, 278, -6, -1, 11
21852562, 2, 16, 47.5637770, -122.0828374, 14, 0.07, 358.2, 131, 197, 276, -6, -1, 11
22053419, 2, 16, 47.5637769, -122.0828374, 14, 0.18, 358.2, 131, 196, 274, -18, 0, 31
22234100, 2, 16, 47.5637767, -122.0828374, 14, 0.05, 358.2, 131, 195, 272, -5, -1, 19
22454904, 2, 16, 47.5637769, -122.0828374, 14, 0.01, 358.2, 131, 194, 270, 0, -1, 10
22655923, 2, 16, 47.5637769, -122.0828375, 14, 0.05, 358.2, 131, 192, 269, -3, -3, 11
23057236, 2, 16, 47.5637768, -122.0828376, 14, 0.08, 358.2, 131, 190, 265, -8, -1, 18
23258131, 2, 16, 47.5637768, -122.0828377, 14, 0.19, 358.2, 131, 189, 264, -19, 1, 35
23438829, 2, 16, 47.5637768, -122.0828379, 14, 0.19, 358.2, 131, 188, 262, -19, 1, 35
23657812, 2, 16, 47.5637770, -122.0828379, 14, 0.05, 358.2, 131, 187, 261, -3, 4, 19
24059370, 2, 16, 47.5637768, -122.0828380, 14, 0.14, 358.2, 131, 185, 258, -14, 0, 21
24260263, 2, 16, 47.5637769, -122.0828381, 13, 0.05, 358.2, 131, 184, 257, 5, -1, 10
24661776, 2, 16, 47.5637770, -122.0828382, 13, 0.07, 358.2, 131, 183, 255, 7, -1, -7
24862564, 2, 16, 47.5637769, -122.0828380, 14, 0.07, 358.2, 131, 183, 254, 7, -1, -7
25063323, 2, 16, 47.5637772, -122.0828384, 14, 0.08, 358.2, 131, 182, 254, 3, 8, -22
25264068, 2, 16, 47.5637769, -122.0828383, 14, 0.13, 358.2, 131, 182, 253, 9, -10, -22
25464837, 2, 16, 47.5637764, -122.0828384, 13, 0.15, 358.2, 131, 181, 252, 11, 10, -16
25665568, 2, 16, 47.5637756, -122.0828386, 13, 0.18, 358.2, 131, 180, 252, 16, 9, -21
25866241, 2, 16, 47.5637752, -122.0828381, 13, 0.18, 358.2, 131, 180, 252, 16, 9, -21
26047154, 2, 17, 47.5637752, -122.0828381, 13, 0.32, 358.2, 124, 180, 252, 19, 26, -20
26067249, 2, 17, 47.5637754, -122.0828384, 13, 0.24, 358.2, 124, 180, 251, 24, 4, -20
26267954, 2, 17, 47.5637750, -122.0828388, 13, 0.24, 358.2, 124, 179, 251, 24, 1, -16
26346219, 2, 17, 47.5637750, -122.0828388, 13, 0.24, 358.2, 124, 179, 251, 24, 1, -16
26468866, 2, 17, 47.5637746, -122.0828394, 13, 0.14, 358.2, 124, 179, 250, 13, 3, -10
26669555, 2, 17, 47.5637740, -122.0828399, 13, 0.06, 358.2, 124, 178, 249, 4, 5, -11
26870339, 2, 17, 47.5637736, -122.0828401, 13, 0.06, 358.2, 124, 178, 248, 4, 5, -11
27069316, 2, 17, 47.5637734, -122.0828403, 13, 0.05, 358.2, 124, 177, 248, 4, 3, -11
27270003, 2, 17, 47.5637730, -122.0828403, 13, 0.06, 358.2, 124, 177, 247, -2, 6, -13
27450797, 2, 17, 47.5637728, -122.0828402, 13, 0.06, 358.2, 124, 176, 247, -2, 6, -13
27651675, 2, 17, 47.5637728, -122.0828403, 13, 0.08, 358.2, 124, 176, 246, 8, 2, -12
27852306, 2, 17, 47.5637724, -122.0828407, 13, 0.15, 358.2, 124, 175, 245, 15, 0, -14
28053114, 2, 17, 47.5637719, -122.0828417, 13, 0.06, 358.2, 124, 175, 244, 2, 5, -9
28253850, 2, 17, 47.5637715, -122.0828429, 13, 0.14, 358.2, 124, 174, 243, 14, -1, -4
28436518, 2, 17, 47.5637712, -122.0828432, 13, 0.14, 358.2, 124, 174, 242, 14, -1, -4
28653570, 2, 17, 47.5637710, -122.0828434, 13, 0.05, 358.2, 124, 173, 242, 3, 4, 1
28854242, 2, 17, 47.5637706, -122.0828435, 13, 0.07, 358.2, 124, 172, 241, -6, 5, 2
29034886, 2, 17, 47.5637704, -122.0828435, 13, 0.07, 358.2, 124, 172, 241, -6, 5, 2
29255903, 2, 17, 47.5637701, -122.0828438, 13, 0.04, 358.2, 124, 171, 241, 1, -4, 3
29456600, 2, 17, 47.5637697, -122.0828441, 13, 0.10, 358.2, 124, 171, 240, -8, -5, 7
29657479, 2, 17, 47.5637694, -122.0828447, 13, 0.09, 358.2, 124, 170, 239, -7, -5, 0
29856230, 2, 17, 47.5637691, -122.0828452, 13, 0.09, 358.2, 124, 169, 238, -7, -5, 0
30036866, 2, 17, 47.5637689, -122.0828456, 13, 0.10, 358.2, 124, 168, 237, -9, -4, 2
30257920, 2, 17, 47.5637686, -122.0828458, 13, 0.06, 358.2, 124, 168, 236, -6, 0, 2
