time (us), GPS_fixType, GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course, GPS_hdop, GPS_eph, GPS_epv
304304967, 2, 20, 47.5635674, -122.0828419, 6, 0.01, 74.1, 147, 82, 148
304316010, 2, 20, 47.5635675, -122.0828419, 6, 0.01, 74.1, 147, 82, 148
304320020, 2, 20, 47.5635675, -122.0828419, 6, 0.01, 74.1, 147, 82, 148
304515987, 2, 20, 47.5635676, -122.0828419, 6, 0.04, 74.1, 147, 82, 148
304716097, 2, 20, 47.5635678, -122.0828421, 6, 0.01, 74.1, 147, 81, 147
304916788, 2, 20, 47.5635679, -122.0828423, 6, 0.01, 74.1, 147, 81, 147
305117591, 2, 20, 47.5635680, -122.0828424, 6, 0.01, 74.1, 147, 81, 147
305920459, 2, 20, 47.5635685, -122.0828429, 6, 0.02, 74.1, 147, 81, 147
306121260, 2, 20, 47.5635686, -122.0828430, 6, 0.01, 74.1, 147, 81, 147
306322013, 2, 20, 47.5635688, -122.0828432, 6, 0.01, 74.1, 147, 81, 147
306522807, 2, 20, 47.5635689, -122.0828433, 6, 0.02, 74.1, 147, 81, 147
306723674, 2, 20, 47.5635690, -122.0828435, 6, 0.01, 74.1, 147, 81, 147
306924008, 2, 20, 47.5635690, -122.0828437, 6, 0.02, 74.1, 147, 81, 147
307123852, 2, 20, 47.5635691, -122.0828438, 6, 0.01, 74.1, 147, 81, 146
307325657, 2, 20, 47.5635692, -122.0828439, 6, 0.01, 74.1, 147, 81, 146
307525335, 2, 20, 47.5635692, -122.0828444, 6, 0.13, 74.1, 147, 81, 146
307726071, 2, 20, 47.5635691, -122.0828443, 6, 0.07, 74.1, 147, 81, 146
307926807, 2, 20, 47.5635693, -122.0828448, 6, 0.10, 74.1, 147, 81, 146
308128463, 2, 20, 47.5635692, -122.0828451, 6, 0.09, 74.1, 147, 81, 146
308308163, 2, 19, 47.5635692, -122.0828451, 6, 0.09, 74.1, 148, 81, 146
308328250, 2, 19, 47.5635692, -122.0828456, 6, 0.10, 74.1, 148, 81, 147
308432587, 2, 19, 47.5635692, -122.0828456, 6, 0.10, 74.1, 148, 81, 147
308528972, 2, 19, 47.5635690, -122.0828460, 6, 0.15, 74.1, 148, 82, 147
308709641, 2, 20, 47.5635690, -122.0828460, 6, 0.15, 74.1, 147, 82, 147
308729711, 2, 20, 47.5635689, -122.0828463, 6, 0.08, 74.1, 147, 82, 147
308931437, 2, 20, 47.5635687, -122.0828466, 6, 0.12, 74.1, 147, 82, 148
